,City,Cloudiness,Country,Date,Humidity,lat,lon,Max Temp,Wind Speed
0,Hobart,49,AU,1583022009,55,-42.88,147.33,18.33,4.1
1,Yellowknife,20,CA,1583021736,69,62.46,-114.35,-20.0,5.1
2,Tasiilaq,100,GL,1583022017,67,65.61,-37.64,-8.0,1.0
3,Bengkulu,100,ID,1583022144,87,-3.8,102.27,24.22,1.56
4,Nísia Floresta,40,BR,1583022102,78,-6.09,-35.21,28.0,1.5
5,Mataura,37,NZ,1583021874,52,-46.19,168.86,19.38,0.76
6,Punta Arenas,75,CL,1583021879,72,-53.15,-70.92,16.0,10.8
7,Skibbereen,20,IE,1583022145,80,51.55,-9.27,2.0,7.2
8,Ratnagiri,0,IN,1583022145,48,16.98,73.3,19.79,0.65
9,Popondetta,57,PG,1583022145,84,-8.75,148.25,27.57,1.26
10,Copiapó,0,CL,1583022146,77,-27.37,-70.33,17.0,3.6
11,Fortuna,20,US,1583021910,66,40.6,-124.16,11.11,6.2
12,Hithadhoo,61,MV,1583021893,79,-0.6,73.08,27.97,5.25
13,Aklavik,40,CA,1583021913,68,68.22,-135.01,-22.0,1.5
14,Cherskiy,32,RU,1583022025,92,68.75,161.3,-18.74,2.05
15,Nishihara,20,JP,1583022147,83,26.18,127.76,24.0,5.7
16,Port Alfred,27,ZA,1583022147,90,-33.59,26.89,16.67,1.34
17,Hong Kong,20,HK,1583021887,88,22.29,114.16,22.78,1.5
18,Torbay,5,CA,1583021941,67,47.67,-52.73,-3.89,4.1
19,Kapaa,40,US,1583021892,69,22.08,-159.32,27.0,10.8
20,Tromsø,75,NO,1583022148,73,69.65,18.96,-4.0,8.2
21,New Norfolk,47,AU,1583022009,55,-42.78,147.06,18.33,4.1
22,Kahului,40,US,1583022080,64,20.89,-156.47,24.0,7.2
23,Tuktoyaktuk,20,CA,1583021907,74,69.45,-133.04,-30.0,3.6
24,Atar,0,MR,1583022149,10,20.52,-13.05,19.78,3.02
25,Pevek,100,RU,1583021908,97,69.7,170.31,-19.38,2.58
26,Kavieng,100,PG,1583022149,70,-2.57,150.8,29.28,1.17
27,Lavrentiya,0,RU,1583022073,82,65.58,-171.0,-18.89,2.44
28,Grande Prairie,90,CA,1583022150,85,55.17,-118.8,-8.0,6.7
29,Srednekolymsk,0,RU,1583022150,81,67.45,153.68,-14.28,3.5
30,Albany,40,US,1583021878,53,42.6,-73.97,-5.56,7.7
31,Mūlki,20,IN,1583022151,83,13.1,74.8,26.0,2.1
32,Rikitea,100,PF,1583022014,79,-23.12,-134.97,26.84,7.39
33,São Filipe,17,CV,1583021898,57,14.9,-24.5,23.12,10.02
34,Cape Town,0,ZA,1583021462,63,-33.93,18.42,17.78,2.1
35,Ponta do Sol,20,PT,1583021923,77,32.67,-17.1,18.0,1.5
36,Cabatuan,35,PH,1583022152,77,10.88,122.49,24.72,5.35
37,Johi,0,PK,1583022152,41,26.69,67.61,19.92,3.65
38,Atuona,2,PF,1583021879,75,-9.8,-139.03,27.92,8.5
39,Bluff,67,NZ,1583022153,49,-46.6,168.33,19.61,1.58
40,Bredasdorp,15,ZA,1583021911,82,-34.53,20.04,17.78,4.6
41,Airai,99,TL,1583021904,78,-8.93,125.41,24.11,1.58
42,Xiaoweizhai,95,CN,1583022153,96,26.19,107.51,12.66,2.32
43,Chokurdakh,7,RU,1583022048,85,70.63,147.92,-19.67,3.4
44,Biryusinsk,97,RU,1583022154,95,55.96,97.82,-11.03,2.99
45,Asău,30,RO,1583021933,76,46.43,26.4,0.0,5.7
46,Saskylakh,98,RU,1583022154,88,71.92,114.08,-19.14,3.94
47,Arraial do Cabo,100,BR,1583021821,89,-22.97,-42.03,24.27,6.94
48,La Ronge,90,CA,1583021936,79,55.1,-105.28,-3.0,5.7
49,Castro,13,BR,1583021903,95,-24.79,-50.01,15.76,3.33
50,Busselton,24,AU,1583021878,46,-33.65,115.33,21.11,8.22
51,Hilo,90,US,1583021795,68,19.73,-155.09,22.78,6.26
52,Ushuaia,75,AR,1583021956,93,-54.8,-68.3,11.0,10.8
53,Saint-Philippe,5,RE,1583022031,83,-21.36,55.77,25.0,1.5
54,Geraldton,40,AU,1583022156,83,-28.77,114.6,22.0,6.2
